t,sym,dir,score,why,win,month
2025-09-15 10:00:00+00:00,USDCAD,BUY,2.579470563536268,низ диапазона,False,2025-09
2025-09-15 15:00:00+00:00,USDCHF,BUY,3.7736153989762005,низ диапазона,True,2025-09
2025-09-15 20:00:00+00:00,USDCAD,BUY,2.6934836707117293,низ диапазона,False,2025-09
2025-09-16 00:00:00+00:00,USDCAD,BUY,1.3605527914758717,RSI перепроданность,False,2025-09
2025-09-16 05:00:00+00:00,USDCAD,BUY,2.5278064386346344,низ диапазона,False,2025-09
2025-09-16 10:00:00+00:00,USDCHF,BUY,3.8433646592841457,низ диапазона,False,2025-09
2025-09-16 15:00:00+00:00,USDCHF,BUY,4.580862092784499,низ диапазона,False,2025-09
2025-09-16 20:00:00+00:00,USDCHF,BUY,4.818403065587307,низ диапазона,True,2025-09
2025-09-17 00:00:00+00:00,USDCHF,BUY,2.166694037566124,низ диапазона,True,2025-09
2025-09-17 10:00:00+00:00,EURJPY,BUY,3.7203973339536773,низ диапазона,True,2025-09
2025-09-17 15:00:00+00:00,AUDUSD,BUY,2.5430832345850702,низ диапазона,False,2025-09
2025-09-17 20:00:00+00:00,EURUSD,BUY,3.3906584352900917,низ диапазона,True,2025-09
2025-09-18 00:00:00+00:00,NZDUSD,BUY,4.064949278226338,низ диапазона,False,2025-09
2025-09-18 05:00:00+00:00,GBPUSD,BUY,4.193290718434622,низ диапазона,True,2025-09
2025-09-18 10:00:00+00:00,NZDUSD,BUY,2.37186201153289,низ диапазона,False,2025-09
2025-09-18 15:00:00+00:00,NZDUSD,BUY,2.738539659653104,низ диапазона,True,2025-09
