t,sym,dir,raw,score,fwr,why,win,month
2025-09-30 05:00:00+00:00,EURJPY,BUY,1.2999999999999998,1.2674999999999998,0.475,низ диапазона,False,2025-09
2025-09-30 20:00:00+00:00,EURJPY,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,True,2025-09
2025-10-01 05:00:00+00:00,EURJPY,BUY,1.2999999999999998,1.2349999999999999,0.45,низ диапазона,False,2025-10
2025-10-01 10:00:00+00:00,EURJPY,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,True,2025-10
2025-10-01 15:00:00+00:00,EURJPY,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,True,2025-10
2025-10-01 20:00:00+00:00,EURJPY,BUY,2.1,1.9949999999999999,0.45,низ диапазона+RSI низкий,True,2025-10
2025-10-02 15:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-10
2025-10-03 05:00:00+00:00,EURJPY,SELL,1.3000000000000003,1.3325000000000002,0.525,верх диапазона+RSI высокий+импульс вверх,True,2025-10
2025-10-06 05:00:00+00:00,EURUSD,BUY,1.6,1.6,0.5,низ диапазона+RSI низкий,False,2025-10
2025-10-06 10:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-10
2025-10-07 00:00:00+00:00,EURJPY,SELL,1.5,1.5374999999999999,0.525,верх диапазона+RSI высокий,True,2025-10
2025-10-07 20:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.3324999999999998,0.525,низ диапазона,False,2025-10
2025-10-08 00:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,False,2025-10
2025-10-08 05:00:00+00:00,EURUSD,BUY,2.1,2.1,0.5,низ диапазона+RSI низкий,True,2025-10
2025-10-08 15:00:00+00:00,EURUSD,BUY,1.2999999999999998,1.3324999999999998,0.525,низ диапазона,True,2025-10
2025-10-09 00:00:00+00:00,EURUSD,SELL,1.2000000000000002,1.2600000000000002,0.55,верх диапазона,False,2025-10
2025-10-09 05:00:00+00:00,EURUSD,SELL,1.2000000000000002,1.2600000000000002,0.55,RSI высокий,True,2025-10
2025-10-09 15:00:00+00:00,EURJPY,BUY,2.4,2.52,0.55,низ диапазона+RSI низкий,True,2025-10
