t,month,win,conf
2025-11-28 00:00:00+00:00,2025-11,False,0.05367136858071375
2025-11-28 05:00:00+00:00,2025-11,True,0.035438459901444785
2025-11-28 10:00:00+00:00,2025-11,True,0.042174816424312866
2025-11-28 15:00:00+00:00,2025-11,False,0.06138554513927136
2025-11-28 20:00:00+00:00,2025-11,True,0.0373152239399408
2025-12-01 00:00:00+00:00,2025-12,True,0.04919559548644514
2025-12-01 05:00:00+00:00,2025-12,True,0.024871445508488743
2025-12-01 10:00:00+00:00,2025-12,False,0.030864585251566323
2025-12-01 15:00:00+00:00,2025-12,True,0.03329155090753855
2025-12-01 20:00:00+00:00,2025-12,True,0.04729086475328664
2025-12-02 00:00:00+00:00,2025-12,True,0.02151418470100319
2025-12-02 05:00:00+00:00,2025-12,True,0.08999477268801565
2025-12-02 10:00:00+00:00,2025-12,True,0.057472225451025705
2025-12-02 15:00:00+00:00,2025-12,True,0.03942796721488562
2025-12-02 20:00:00+00:00,2025-12,True,0.052658706120171095
2025-12-03 00:00:00+00:00,2025-12,True,0.03678240387412324
2025-12-03 05:00:00+00:00,2025-12,False,0.03650565811952067
2025-12-03 10:00:00+00:00,2025-12,False,0.024803338906981887
2025-12-03 15:00:00+00:00,2025-12,False,0.04870460284507322
2025-12-03 20:00:00+00:00,2025-12,True,0.0742454557942247
2025-12-04 00:00:00+00:00,2025-12,True,0.09893299426299806
2025-12-04 05:00:00+00:00,2025-12,False,0.07473282168858514
2025-12-04 10:00:00+00:00,2025-12,True,0.07032438983017508
2025-12-04 15:00:00+00:00,2025-12,True,0.034605679704746595
2025-12-04 20:00:00+00:00,2025-12,True,0.07081850998837913
2025-12-05 00:00:00+00:00,2025-12,True,0.04740118773274293
2025-12-05 05:00:00+00:00,2025-12,True,0.03664171304697483
2025-12-05 10:00:00+00:00,2025-12,True,0.03954230575033235
2025-12-05 15:00:00+00:00,2025-12,False,0.02218488892357351
2025-12-05 20:00:00+00:00,2025-12,False,0.08590215168029469
2025-12-08 00:00:00+00:00,2025-12,False,0.12820813301139877
2025-12-08 05:00:00+00:00,2025-12,False,0.048138170573224226
2025-12-08 10:00:00+00:00,2025-12,True,0.03407614532968417
2025-12-08 15:00:00+00:00,2025-12,True,0.10469272220850112
2025-12-08 20:00:00+00:00,2025-12,True,0.10391675137754647
2025-12-09 00:00:00+00:00,2025-12,False,0.052429514775889974
2025-12-09 05:00:00+00:00,2025-12,True,0.034134326784883595
2025-12-09 10:00:00+00:00,2025-12,True,0.04210711609166673
2025-12-09 15:00:00+00:00,2025-12,True,0.04020448069488136
2025-12-09 20:00:00+00:00,2025-12,False,0.06254729231685385
2025-12-10 00:00:00+00:00,2025-12,True,0.06574955616331574
2025-12-10 05:00:00+00:00,2025-12,True,0.04389976403114548
2025-12-10 10:00:00+00:00,2025-12,True,0.039431147763611896
2025-12-10 15:00:00+00:00,2025-12,False,0.042501062689257796
2025-12-10 20:00:00+00:00,2025-12,True,0.1087000502638319
2025-12-11 00:00:00+00:00,2025-12,False,0.08068568766725837
2025-12-11 05:00:00+00:00,2025-12,False,0.05271990731466991
2025-12-11 10:00:00+00:00,2025-12,False,0.08393582164909763
2025-12-11 15:00:00+00:00,2025-12,True,0.1025430935884748
2025-12-11 20:00:00+00:00,2025-12,True,0.11822571607178767
2025-12-12 00:00:00+00:00,2025-12,False,0.04980472585447515
2025-12-12 05:00:00+00:00,2025-12,False,0.04161850453487714
2025-12-12 10:00:00+00:00,2025-12,True,0.028741436929166087
2025-12-12 15:00:00+00:00,2025-12,True,0.023891909832022273
2025-12-12 20:00:00+00:00,2025-12,False,0.046984050529350285
2025-12-15 00:00:00+00:00,2025-12,True,0.06166668134950126
2025-12-15 05:00:00+00:00,2025-12,True,0.06350041699741071
2025-12-15 10:00:00+00:00,2025-12,True,0.045284138694949405
2025-12-15 15:00:00+00:00,2025-12,False,0.05950974973550682
2025-12-15 20:00:00+00:00,2025-12,True,0.05304105798932435
2025-12-16 00:00:00+00:00,2025-12,False,0.05175801420388104
2025-12-16 05:00:00+00:00,2025-12,True,0.04903483657811103
2025-12-16 10:00:00+00:00,2025-12,False,0.022043051046463646
2025-12-16 15:00:00+00:00,2025-12,True,0.051588118599025234
2025-12-16 20:00:00+00:00,2025-12,False,0.049397845864993406
2025-12-17 00:00:00+00:00,2025-12,True,0.053712817699822835
2025-12-17 05:00:00+00:00,2025-12,False,0.08514476517290792
2025-12-17 10:00:00+00:00,2025-12,True,0.07626409966810788
2025-12-17 15:00:00+00:00,2025-12,True,0.04403534481121385
2025-12-17 20:00:00+00:00,2025-12,True,0.05258205803064264
2025-12-18 00:00:00+00:00,2025-12,True,0.06673964838279878
2025-12-18 05:00:00+00:00,2025-12,False,0.0510050860151513
2025-12-18 10:00:00+00:00,2025-12,True,0.04389976403114548
2025-12-18 15:00:00+00:00,2025-12,False,0.03135758577764913
2025-12-18 20:00:00+00:00,2025-12,True,0.04030587403687169
2025-12-19 00:00:00+00:00,2025-12,True,0.06047472309299062
2025-12-19 05:00:00+00:00,2025-12,False,0.0632396262863556
2025-12-19 10:00:00+00:00,2025-12,True,0.0581706662566831
2025-12-19 15:00:00+00:00,2025-12,False,0.06388939756146939
2025-12-19 20:00:00+00:00,2025-12,True,0.09769122089898752
2025-12-22 00:00:00+00:00,2025-12,False,0.1034115551706355
2025-12-22 05:00:00+00:00,2025-12,False,0.017297303536740083
2025-12-22 10:00:00+00:00,2025-12,False,0.04073167026075497
2025-12-22 15:00:00+00:00,2025-12,False,0.08503108077151755
2025-12-22 20:00:00+00:00,2025-12,False,0.11108096920226562
2025-12-23 00:00:00+00:00,2025-12,False,0.04219770182376237
2025-12-23 05:00:00+00:00,2025-12,False,0.14577101887745358
2025-12-23 10:00:00+00:00,2025-12,True,0.10724088048121572
2025-12-23 15:00:00+00:00,2025-12,False,0.04143153363187846
2025-12-23 20:00:00+00:00,2025-12,False,0.05262412670929173
2025-12-24 00:00:00+00:00,2025-12,False,0.03326964539341415
2025-12-24 05:00:00+00:00,2025-12,True,0.026691944095182496
2025-12-24 10:00:00+00:00,2025-12,False,0.05316757242070702
2025-12-24 15:00:00+00:00,2025-12,False,0.04036680317896724
2025-12-24 20:00:00+00:00,2025-12,False,0.0987118809175328
2025-12-25 00:00:00+00:00,2025-12,False,0.07245558404326646
2025-12-25 05:00:00+00:00,2025-12,False,0.0693133557832033
2025-12-25 10:00:00+00:00,2025-12,False,0.0786313652723627
2025-12-25 15:00:00+00:00,2025-12,False,0.0786313652723627
2025-12-25 20:00:00+00:00,2025-12,True,0.07106600868132118
2025-12-26 00:00:00+00:00,2025-12,True,0.047404934827612544
2025-12-26 05:00:00+00:00,2025-12,False,0.05534346734042794
2025-12-26 10:00:00+00:00,2025-12,True,0.027338044174525622
2025-12-26 15:00:00+00:00,2025-12,True,0.03650565811952067
2025-12-26 20:00:00+00:00,2025-12,False,0.04470530412746221
2025-12-29 00:00:00+00:00,2025-12,True,0.05130995701520247
2025-12-29 05:00:00+00:00,2025-12,True,0.04684295748751677
2025-12-29 10:00:00+00:00,2025-12,False,0.02967936047989761
2025-12-29 15:00:00+00:00,2025-12,True,0.05684498461035181
2025-12-29 20:00:00+00:00,2025-12,True,0.042594389470621885
2025-12-30 00:00:00+00:00,2025-12,False,0.08967206703340225
2025-12-30 05:00:00+00:00,2025-12,True,0.03673577003346362
2025-12-30 10:00:00+00:00,2025-12,False,0.04161850453487714
